,,overall_accuracy,overall_accuracy,runtime,jains_fairness
,,mean,std,mean,mean
algorithm_name,num_cameras,,,,
Coverage,10,0.4555,0.0442,0.0682,0.1633
Fixed-Freq,10,0.4694,0.0328,0.2547,0.9999
Greedy-Energy,10,0.4524,0.0482,0.0734,0.2756
Random,10,0.4209,0.0409,0.1204,0.991
Round-Robin,10,0.4448,0.0304,0.0751,0.9999
Threshold,10,0.2691,0.1737,0.1247,1.0
Unknown-Freq,10,0.4894,0.1629,0.0619,1.0
Variable-Freq,10,0.4579,0.0578,0.0651,0.9014
