exp_id,algorithm,algorithm_name,num_cameras,num_classes,frequency,energy_capacity,recharge_rate,accuracy_threshold,duration,run,runtime,overall_accuracy,recent_accuracy,accuracy_std,accuracy_improvement,energy_violations,accuracy_violations,avg_energy,min_energy_ever,energy_variance,energy_sustainability,avg_cameras_per_event,total_classifications,successful_classifications,classification_rate,jains_fairness,participation_variance,max_participation,min_participation,gini_coefficient,convergence_time,stability_score,adaptation_rate,avg_collective_accuracy,accuracy_consistency,response_time_avg
3,variable,Variable-Freq,10,3,0.05,1000,10,0.7,2000,0,0.035222530364990234,0.4533333333333333,0.3953488372093023,0.0,0.0,0,0,1000.0,950.0,0.0,1.0,1.0,86,34,0.043,0.9146341463414634,5.25,11,6,0.1399999999999999,-1.0,0.0,0.0,0.7927079562633974,0.0,0.0
4,variable,Variable-Freq,10,3,0.05,1000,10,0.7,2000,1,0.012451648712158203,0.47126436781609193,0.41414141414141414,0.0,0.0,0,0,995.0,950.0,0.0,1.0,1.0,99,41,0.0495,0.9043010752688172,8.01,13,6,0.15517241379310343,-1.0,0.0,0.0,0.7987933910791569,0.0,0.0
5,variable,Variable-Freq,10,3,0.05,1000,10,0.7,2000,2,0.013251066207885742,0.41333333333333333,0.36046511627906974,0.0,0.0,0,0,1000.0,950.0,0.0,1.0,1.0,86,31,0.043,0.9146341463414634,5.25,11,6,0.1399999999999999,-1.0,0.0,0.0,0.7927079562633974,0.0,0.0
0,fixed,Fixed-Freq,10,3,0.05,1000,10,0.7,2000,0,0.07375764846801758,0.5116279069767442,0.5116279069767442,0.0,0.0,0,0,985.0,950.0,0.0,1.0,3.3,86,44,0.043,0.9997451146983857,0.20999999999999996,29,28,0.007317073170731714,-1.0,0.0,0.0,0.9994769227048529,0.02299157908160565,0.0
2,fixed,Fixed-Freq,10,3,0.05,1000,10,0.7,2000,2,0.07733154296875,0.5116279069767442,0.5116279069767442,0.0,0.0,0,0,985.0,950.0,0.0,1.0,3.3,86,44,0.043,0.9997451146983857,0.20999999999999996,29,28,0.007317073170731714,-1.0,0.0,0.0,0.9994769227048529,0.02299157908160565,0.0
1,fixed,Fixed-Freq,10,3,0.05,1000,10,0.7,2000,1,0.08368039131164551,0.5116279069767442,0.5116279069767442,0.0,0.0,0,0,985.0,950.0,0.0,1.0,3.3,86,44,0.043,0.9997451146983857,0.20999999999999996,29,28,0.007317073170731714,-1.0,0.0,0.0,0.9994769227048529,0.02299157908160565,0.0
6,unknown,Unknown-Freq,10,3,0.05,1000,10,0.7,2000,0,0.016791582107543945,0.625,0.0,0.0,0.0,0,0,1000.0,950.0,6.25,1.0,1.25,115,5,0.0575,1.0,0.0,1,1,0.0,-1.0,0.9873060648801127,0.0,0.06401781092955482,0.0,0.0
7,unknown,Unknown-Freq,10,3,0.05,1000,10,0.7,2000,1,0.014413833618164062,0.25,0.0,0.0,0.0,0,0,1000.0,950.0,6.25,1.0,1.25,111,2,0.0555,1.0,0.0,1,1,0.0,-1.0,0.9945442145942259,0.0,0.0663247590711604,0.0,0.0
8,unknown,Unknown-Freq,10,3,0.05,1000,10,0.7,2000,2,0.01977825164794922,0.25,0.0,0.0,0.0,0,0,1000.0,950.0,6.25,1.0,1.25,111,2,0.0555,1.0,0.0,1,1,0.0,-1.0,0.9945442145942259,0.0,0.0663247590711604,0.0,0.0
11,random,Random,10,3,0.05,1000,10,0.7,2000,2,0.016443252563476562,0.5263157894736842,0.5263157894736842,0.0,0.0,0,0,980.0,950.0,0.0,1.0,2.8,95,50,0.0475,0.9667901377474245,28.690000000000005,38,22,0.10346020761245667,-1.0,0.0,0.0,0.9827421107699953,0.05131670194948623,0.0
